GEOID10,senior_population,schools_within_a_mile
250250901005,72,"['Burke_ Jeremiah E. High School', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'McKinley_ William Middle', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250251009004,81,"['Boston International Newcomers Academy', 'Ellison/Parks Early Education School', 'Mildred Avenue K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary']"
250250510002,114,"['Bradley_ Manassah E. Elementary', 'Guild_ Curtis Elementary']"
250250104053,278,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Boston Day & Evening Academy', 'Boston Latin School', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'McKinley_ William Preparatory High School', 'Orchard Gardens K-8', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'McKinley_ William School']"
250251204001,35,"['Community Academy', 'Curley K-8', 'Ellis_ David A. Elementary', 'English High School', 'Greater Egleston High School', 'Hennigan_ James W. K-8', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Kennedy_ John F. Elementary', 'Mendell_ Ellis Elementary', 'Mission Hill K-8', 'Muniz_ Margarita Academy', 'West Zone Early Learning Center']"
250250819004,186,"['Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Community Academy', 'Ellis_ David A. Elementary', 'Frederick_ Lilla G. Middle', 'Greater Egleston High School', 'Hale_ Nathan Elementary', 'Haynes Early Education Center', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Higginson-Lewis', 'Kennedy_ John F. Elementary', 'King_ Martin Luther_ Jr. K-8', 'Mendell_ Ellis Elementary', 'Trotter_ William Monroe K-8', 'Winthrop_ John Elementary']"
250251303004,86,"['Bates_ Phineas Elementary', 'Beethoven_ Ludwig van Elementary', 'Lyndon_ Patrick K-8', 'Mozart_ Wolfgang A. Elementary', 'Ohrenberger_ William School']"
250250005032,172,"['Baldwin Early Learning Pilot Academy', 'Boston Green Academy', 'Brighton High School', 'Edison_ Thomas A. K-8', 'Winship_ F. Lyman Elementary']"
250250923002,61,"['Boston Arts Academy', 'Boston International Newcomers Academy', 'Community Academy of Science & Health', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Quincy_ Josiah Elementary', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250101043,60,"['Boston Latin School', 'Carter School_ The', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ William Preparatory High School', 'Snowden International School at Copley']"
250250005041,308,"['Baldwin Early Learning Pilot Academy', 'Boston Green Academy', 'Brighton High School', 'Horace Mann School for the Deaf and Hard of Hearing', 'Jackson/Mann K-8', 'Winship_ F. Lyman Elementary']"
250250904003,86,"['Boston Day & Evening Academy', 'Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Clap Elementary School', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Everett_ Edward Elementary', 'Frederick_ Lilla G. Middle', 'Haynes Early Education Center', 'Higginson K0-2', 'Higginson-Lewis', 'King_ Martin Luther_ Jr. K-8', 'Mason_ Samuel Elementary', 'Mather Elementary', 'Orchard Gardens K-8', 'Russell_ William E.  Elementary', 'Trotter_ William Monroe K-8', 'UP Academy Holland', 'Winthrop_ John Elementary']"
250251105022,280,"['Bates_ Phineas Elementary', 'Conley_ George H. Elementary', 'Irving_ Washington  Middle', 'Mozart_ Wolfgang A. Elementary', 'Philbrick_ John D. Elementary', 'Sumner_ Charles Elementary']"
250250703004,167,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250702003,567,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Hurley_ Joseph  K-8', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250003021,81,"['Edison_ Thomas A. K-8', 'Lyon_ Mary High School', 'Winship_ F. Lyman Elementary']"
250251402023,230,"['Another Course to College', 'Chittick_ James J. Elementary', 'Grew_ Henry Elementary', 'New Mission High School', 'Roosevelt_ Franklin D. K-8']"
250250919004,45,"['Boston Arts Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mather Elementary', 'McKinley_ William Middle', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250602001,63,"['Excel High School', 'Perry_ Oliver Hazard K-6', 'Tynan_ Joseph P. Elementary']"
250250301002,42,"['Charlestown High School', 'Harvard/Kent Elementary', 'Warren/Prescott K-8']"
