state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,025,010203,2,Boston,250250102032,2265,1048,13,54,0,17,0,19,52,125,214,144,162,102,33,0,0,0,59,0,0,54,0,0,0,1217,62,57,50,0,62,109,58,160,294,115,125,12,15,10,61,15,0,12,0,0,0,0,0
25,017,342300,1,Everett,250173423001,991,407,0,0,36,0,0,15,0,35,68,17,20,87,47,0,59,0,23,0,0,0,0,0,0,584,23,71,44,0,18,0,0,26,16,23,18,170,14,23,30,31,35,0,0,0,29,0,13
25,025,130404,2,Boston,250251304042,742,403,23,66,0,0,0,0,0,12,31,31,47,0,20,65,26,25,26,0,9,12,0,10,0,339,9,0,0,0,0,0,15,0,31,40,41,35,25,32,47,0,31,0,0,10,13,10,0
25,013,812800,4,Westfield,250138128004,1649,776,34,16,71,35,0,0,39,16,23,14,15,31,40,49,72,14,82,5,54,78,20,18,50,873,17,60,0,12,0,13,55,36,15,0,49,58,51,136,33,14,82,34,20,98,31,20,39
25,017,358300,1,Lexington,250173583001,3558,1533,67,124,67,80,0,20,0,0,59,84,160,35,311,51,69,35,10,79,41,94,20,69,58,2025,147,128,141,33,0,0,0,24,33,109,135,176,193,88,77,14,161,38,62,92,76,161,137
25,017,373100,4,Newton,250173731004,1019,524,46,27,54,34,0,0,0,0,47,17,59,41,28,0,15,21,47,14,33,14,27,0,0,495,0,13,28,25,0,0,0,0,22,32,45,46,56,0,17,41,14,29,14,14,52,33,14
25,021,406101,2,Medfield,250214061012,1315,665,32,69,71,57,8,11,0,21,0,23,27,50,45,66,66,36,37,18,0,10,0,9,9,650,37,42,68,75,11,0,0,19,0,40,34,57,36,86,62,39,9,8,0,9,9,0,9
25,023,530700,1,North Plymouth,250235307001,1376,578,0,0,0,100,17,0,0,0,0,56,0,0,34,51,109,0,40,0,7,42,43,79,0,798,38,67,0,0,0,17,0,0,43,97,53,0,16,66,82,0,38,79,44,46,83,14,15
25,013,813303,2,Longmeadow,250138133032,2420,1118,60,79,64,21,29,0,13,0,36,73,44,61,95,49,63,17,39,22,40,68,70,58,117,1302,74,109,120,39,9,0,0,0,46,28,58,56,64,89,56,17,47,34,52,85,46,81,192
25,017,369100,5,Waltham,250173691005,1077,410,47,28,14,0,0,8,0,23,13,43,23,1,37,27,61,25,0,0,0,13,0,33,14,667,26,44,35,0,0,0,23,19,65,67,9,60,19,36,78,25,23,0,24,28,45,30,11
25,001,013800,1,Sagamore,250010138001,2933,1412,100,78,74,84,70,17,0,23,70,98,82,54,49,122,145,34,58,39,36,64,64,35,16,1521,21,50,80,32,0,33,0,63,186,64,62,92,118,105,110,39,100,75,48,130,30,28,55
25,025,130100,2,Boston,250251301002,1886,1010,90,20,34,0,0,0,10,63,185,138,99,44,17,50,110,0,0,52,19,0,58,0,21,876,76,82,0,0,0,0,0,22,181,94,64,85,84,47,54,0,26,0,0,61,0,0,0
25,025,040600,2,Boston,250250406002,2063,1053,97,56,26,13,9,0,0,4,274,160,102,103,59,22,46,0,12,15,7,19,29,0,0,1010,111,9,24,0,0,0,0,54,130,211,86,78,54,64,37,36,21,29,7,36,12,0,11
25,009,261101,1,Haverhill,250092611011,1166,570,55,0,36,27,9,0,0,32,26,47,18,32,26,26,66,10,62,15,7,17,25,25,9,596,33,11,26,55,0,0,0,12,27,32,31,26,26,72,54,9,45,24,16,38,16,24,19
25,027,709201,1,Leominster,250277092011,2050,950,69,31,61,19,20,0,30,25,60,45,57,59,29,80,82,35,29,59,14,0,63,25,58,1100,105,41,59,10,16,0,14,15,133,28,67,28,199,46,59,42,53,12,35,32,39,39,28
25,017,339700,3,Medford,250173397003,1068,454,0,32,0,25,0,0,13,0,119,45,33,12,15,0,14,45,27,19,40,0,15,0,0,614,13,22,14,0,45,26,0,0,74,154,24,32,22,25,73,0,17,31,0,10,24,0,8
25,017,354400,2,Cambridge,250173544002,921,438,21,22,24,9,0,0,0,21,48,31,27,20,77,6,9,19,46,24,5,24,0,5,0,483,5,47,24,3,0,23,0,14,0,37,35,23,51,54,35,6,25,33,11,27,19,0,11
25,009,206000,2,Lynn,250092060002,1704,871,60,51,87,26,91,0,33,9,36,60,66,39,74,54,31,31,62,10,7,0,27,17,0,833,111,18,28,42,0,25,0,13,74,85,89,82,40,16,48,35,6,20,9,58,0,34,0
25,013,810700,5,Chicopee,250138107005,1551,651,36,198,33,0,0,0,16,0,0,105,27,20,15,29,23,18,18,34,15,16,0,33,15,900,0,60,14,108,46,0,0,0,97,126,10,38,12,16,109,34,55,16,88,18,0,53,0
25,021,417601,3,Quincy,250214176013,1388,596,20,46,0,14,0,0,0,12,100,41,53,47,0,21,13,0,27,55,12,30,11,19,75,792,47,0,40,0,6,0,0,0,135,47,17,106,0,26,19,20,95,89,94,22,11,18,0
25,021,443101,1,Bellingham,250214431011,1837,996,53,47,36,55,1,0,63,22,39,58,65,85,39,111,90,17,0,0,49,71,67,14,14,841,13,133,30,0,19,0,0,22,15,46,75,63,65,108,35,17,37,28,13,41,26,55,0
25,017,339802,3,Medford,250173398023,677,342,0,0,18,0,0,0,0,0,75,51,29,36,18,37,21,36,0,0,0,0,0,0,21,335,0,0,0,0,0,0,0,0,98,112,25,22,0,37,0,0,0,0,0,0,14,20,7
25,023,511400,3,Brockton,250235114003,962,595,137,86,32,7,0,0,0,40,61,34,58,21,45,26,17,0,0,17,8,6,0,0,0,367,19,8,18,14,24,0,0,16,35,10,69,21,15,18,30,8,7,8,19,16,6,6,0
